NO,PELAT NOMOR,NOMOR PINTU,PANJANG,LEBAR,TINGGI,PALASI,VOLUME ISI,JAM MASUK
1,K8592JS,-,350,185,155,60/24,"11.59",09:10
2,H8172FG,-,345,172,155,60/24,"10.62",09:19
3,K8636TD,-,360,185,155,60/24,"11.92",09:20
4,E9336AC,-,365,190,145,65/26,"11.85",09:22
5,K8699DS,-,360,190,165,60/24,"12.92",09:24
6,L9369UX,-,370,190,100+20,70/28,"10.40/10.15",09:33
7,L8141LS,-,345,185,135,60/24,"10.14",09:37
8,K8231KS,-,340,180,170,57/22,"11.75",09:39
9,AA9269YF,-,355,185,145,65/26,"11.23",09:41
10,G8791OE,-,360,185,140,60/24,"10.92",09:43
11,AA9940YF,-,345,190,140,70/28,"11.01",09:44
12,K1485LK,-,370,190,115+20,45/18,"10.75/10.50",10:29
13,AG9138V,-,365,190,155,60/24,"12.41",10:44
14,H1856CZ,-,365,190,115+20,59/20,"10.84/10.59",11:49
15,L9369UX,-,370,190,100+20,65/26,"10.26/10.01",13:19
16,K8699DS,-,360,190,165,59/20,"12.85",13:21
17,AA9269YF,-,355,185,145,50/20,"10.83",13:21
18,G8791OE,-,360,185,140,59/22,"10.78",13:22
19,E9336AC,-,365,190,145,65/26,"11.85",13:23
20,K8231KS,-,340,180,170,59/20,"11.62",13:24
21,K8592JS,-,350,185,155,57/22,"11.46",13:26
22,K8636TD,-,360,185,155,59/20,"11.65",17:48
23,H8172FG,-,345,172,155,57/22,"10.50",18:22
24,AA9269YF,-,355,185,145,60/24,"11.09",18:24
